instance;exact_val;exact_time;apx_val;apx_time
../../../allInst/m5Q25s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q25s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q25s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q25s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q30s000.tsp.ccpdp;3359.14;14;3359.14;5
../../../allInst/m5Q30s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q30s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q30s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q30s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q30s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q30s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q30s777.tsp.ccpdp;3396.92;5;3396.92;3
../../../allInst/m5Q30s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q30s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q500s000.tsp.ccpdp;3359.14;14;3359.14;5
../../../allInst/m5Q500s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q500s222.tsp.ccpdp;2909.4;13;2909.4;4
../../../allInst/m5Q500s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q500s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q500s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q500s666.tsp.ccpdp;3702.85;9;3702.85;5
../../../allInst/m5Q500s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q500s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q500s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q5s000.tsp.ccpdp;3359.14;16;3359.14;5
../../../allInst/m5Q5s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q5s222.tsp.ccpdp;2909.4;13;2909.4;4
../../../allInst/m5Q5s333.tsp.ccpdp;3451.62;13;3451.62;7
../../../allInst/m5Q5s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q5s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q5s666.tsp.ccpdp;3702.85;9;3702.85;5
../../../allInst/m5Q5s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q5s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q5s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/rg-016-q-1x1.0001.ccpdp;504756;1441;504756;71
../../../allInst/rg-016-q-1x1.0002.ccpdp;427062;1277;476486;44
../../../allInst/rg-016-q-1x1.0003.ccpdp;463382;906;478375;37
../../../allInst/rg-016-q-1x1.0004.ccpdp;496590;924;503487;73
../../../allInst/rg-016-q-1x1.0005.ccpdp;479877;909;677891;53
../../../allInst/rg-016-q-1x1.0006.ccpdp;405281;706;405281;76
../../../allInst/rg-016-q-1x1.0007.ccpdp;499167;954;504305;33
../../../allInst/rg-016-q-1x1.0008.ccpdp;490086;719;490086;96
