instance;num_vertices;relaxed_val;relaxed_time;survive_net_val;survive_net_time;gomory_hu_val;gomory_hu_time;perfect_matching_val;perfect_matching_time;short_cutting_val;short_cutting_time
../../../testInst/m5Q15s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q15s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q20s000.tsp.ccpdp;12;2560.75;0;4721.4;1;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q20s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q20s222.tsp.ccpdp;12;1637.83;0;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q20s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q20s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q20s555.tsp.ccpdp;12;1911.49;0;2850.81;1;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q20s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q20s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
../../../testInst/m5Q20s888.tsp.ccpdp;12;2000.49;0;2987.25;1;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q20s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q25s000.tsp.ccpdp;12;2560.75;0;4721.4;2;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q25s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q25s222.tsp.ccpdp;12;1637.83;1;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q25s333.tsp.ccpdp;12;2982.57;0;3451.62;2;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q25s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q25s555.tsp.ccpdp;12;1911.49;0;2850.81;1;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q25s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q25s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
../../../testInst/m5Q25s888.tsp.ccpdp;12;2000.49;0;2987.25;2;0;0;2987.25;0;2987.25;0
../../../testInst/m5Q25s999.tsp.ccpdp;12;2459.56;0;3045.85;1;0;0;3045.85;0;3045.85;0
../../../testInst/m5Q30s000.tsp.ccpdp;12;2560.75;0;4721.4;1;0;0;5781.62;0;3359.14;0
../../../testInst/m5Q30s111.tsp.ccpdp;12;2373.29;0;2928.64;1;0;0;2928.64;0;3082.92;0
../../../testInst/m5Q30s222.tsp.ccpdp;12;1637.83;0;2909.4;1;0;0;2909.4;0;2950.22;0
../../../testInst/m5Q30s333.tsp.ccpdp;12;2982.57;0;3451.62;1;0;0;3451.62;0;3451.62;0
../../../testInst/m5Q30s444.tsp.ccpdp;12;1771.58;0;3483.07;1;0;0;4265.93;0;2950.62;0
../../../testInst/m5Q30s555.tsp.ccpdp;12;1911.49;0;2850.81;2;0;0;2850.81;0;2850.81;0
../../../testInst/m5Q30s666.tsp.ccpdp;12;2368.97;0;3702.85;1;0;0;3702.85;0;3749.49;0
../../../testInst/m5Q30s777.tsp.ccpdp;12;3172.79;0;3396.92;1;0;0;3396.92;0;3396.92;0
